keyword,tier,tier_matching_rule,subcategory,job_posting_skill_name
gaussian process,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Gaussian Process
aws sagemaker,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,AWS SageMaker
amazon sagemaker,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,AWS SageMaker
pose estimation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Pose Estimation
LUIS,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Azure AI Language Understanding (LUIS)
microsoft luis,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Azure AI Language Understanding (LUIS)
azure ai language understanding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Azure AI Language Understanding (LUIS)
language understanding intelligent service,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Azure AI Language Understanding (LUIS)
azure language understanding,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Azure AI Language Understanding (LUIS)
supervised learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Supervised Learning
boltzmann machine,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Boltzmann Machine
keysight functional,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Keysight Functional
artificial neural network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Artificial Neural Networks
conditional random field,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Conditional Random Fields
q learning,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Q Learning
q-learning,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Q Learning
kaldi,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Kaldi
k-NN,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,K-Nearest Neighbors Algorithm
k-nearest neighbor,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,K-Nearest Neighbors Algorithm
k-nearest neighbours,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,K-Nearest Neighbors Algorithm
azure cognitive service,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Azure Cognitive Services
azure ai service,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Azure Cognitive Services
microsoft foundry,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Azure Cognitive Services
microsoft cognitive service,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Azure Cognitive Services
azure ai cognitive service,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Azure Cognitive Services
human ai interaction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Human AI Interaction
human and ai interaction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Human AI Interaction
human–ai collaboration,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Human AI Interaction
mathematical morphology,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Mathematical Morphology
botpress,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Botpress
independent component analysis,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Independent Component Analysis
hierarchical clustering,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Hierarchical Clustering
contextual image classification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Contextual Image Classification
question answering,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Question Answering
graphlab,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Graphlab
embedded ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Embedded AI
artificial general intelligence,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Artificial General Intelligence
QAOA,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GeneralAI,Quantum Approximate Optimization Algorithm (QAOA)
quantum approximate optimization algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Quantum Approximate Optimization Algorithm (QAOA)
XAI,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GeneralAI,Explainable AI (XAI)
explainable ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Explainable AI (XAI)
amazon forecast,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Amazon Forecast
natural language toolkit,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Natural Language Toolkits
quantum walk,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Quantum Walks
named entity recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Named Entity Recognition
matrix factorization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Matrix Factorization
azure machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Azure Machine Learning
h2o.ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,H2O.ai
h2o driverless ai,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,H2O.ai
semantic search,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Semantic Search
k-means,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,K-Means Clustering
k-means clustering,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,K-Means Clustering
k-medoids,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,K-Means Clustering
object detection,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Object Detection
cublas,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Cublas
ransac,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,Ransac
random sample consensus,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Ransac
chatgpt prompt,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,ChatGPT Prompt
reasoning system,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Reasoning Systems
collaborative filtering,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Collaborative Filtering
cmu sphinx,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Sphinx Speech Recognition
sphinx speech recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Sphinx Speech Recognition
image segmentation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Image Segmentation
autogen,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Agent,AutoGen
weka,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Weka
lingpipe,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Lingpipe
adobe sensei,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Adobe Sensei
artificial intelligence system,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Artificial Intelligence Systems
intelligent virtual assistant,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Intelligent Virtual Assistant
ai virtual assistant,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Intelligent Virtual Assistant
ai virtual assistants,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Intelligent Virtual Assistant
bayesian belief network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Belief Networks
bayesian network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Belief Networks
relational data mining,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Relational Data Mining
ridge regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Ridge/LASSO Regressions
lasso regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Ridge/LASSO Regressions
ridge & lasso regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Ridge/LASSO Regressions
regularized regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Ridge/LASSO Regressions
genai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Generative Artificial Intelligence
generative artificial intelligence,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Generative Artificial Intelligence
hidden markov model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Hidden Markov Model
statsmodels,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Statsmodels
computational linguistics,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Computational Linguistics
AIML,tier1,Case-sensitive matching; keyword cannot be part of a longer word,NLP,Artificial Intelligence Markup Language (AIML)
machine learning algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning Algorithms
generative adversarial network,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Generative Adversarial Networks
GANs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Generative Adversarial Networks
bayesian probability,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Probability
seaborn,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Seaborn
geopy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Geopy
genetic algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Genetic Algorithm
opencv,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,OpenCV
qdrant,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Qdrant
transformer ml,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Transformer (Machine Learning Model)
transformer machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Transformer (Machine Learning Model)
transformer model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Transformer (Machine Learning Model)
chatgpt,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,ChatGPT
dask,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Dask (Software)
syntaxnet,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,SyntaxNet
language identification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Language Identification
knowledge representation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Knowledge Representation
google automl,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Google AutoML
natural language programming,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Natural Language Programming
quantization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Quantization
machine learning method,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning Methods
ml method,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Machine Learning Methods
machine learning technique,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Machine Learning Methods
semantic analysis,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Semantic Analysis
point cloud library,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Point Cloud Library
kolmogorov smirnov,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Kolmogorov Smirnov
bayesian model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Modeling
bayesian hierarchical model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Modeling
apache madlib,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Apache MADlib
MADlib,tier1,Case-sensitive matching; keyword cannot be part of a longer word,ML,Apache MADlib
bot framework,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Bot Framework
pydata,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Pydata
apache singa,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Apache SINGA
ai security,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,AI Security
recommender system,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Recommender Systems
face detection,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Face Detection
nonparametric regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Nonparametric Regression
image recognition,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,Image Recognition
gesture recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Gesture Recognition
sentiment analysis,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Sentiment Analysis
google cloud dialogflow,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Google Cloud Dialogflow
google dialogflow,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Google Cloud Dialogflow
data preprocessing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Data Preprocessing
information extraction,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Information Extraction
knowledge graph,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Knowledge Graph
ai testing,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,AI Testing
medical image analysis,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Medical Image Analysis
wordnet,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,WordNet
object recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Object Recognition
object detection and recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Object Recognition
object detection recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Object Recognition
genetic programming,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Genetic Programming
copilot studio,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Agent,Microsoft Copilot Studio
streamlit,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Streamlit
gurobi,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Gurobi
disambiguation,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Disambiguation
convex optimization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Convex Optimization
convex optimisation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Convex Optimization
statistical learning theory,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Statistical Learning Theory
amazon textract,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Amazon Textract
aws textract,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Amazon Textract
microsoft copilot,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Microsoft Copilot
copilot for microsoft 365,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Microsoft Copilot
microsoft 365 copilot,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,Microsoft Copilot
github copilot,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,GitHub Copilot
copilot for github,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,GitHub Copilot
conversational ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Conversational AI
amazon braket,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Amazon Braket
aws bracket,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Amazon Braket
amazon web services braket,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Amazon Braket
openni,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,OpenNI
evolutionary algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Evolutionary Algorithm
language model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Language Models
graph algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Graph Algorithms
graph theory algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Graph Algorithms
graph traversal algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Graph Algorithms
graph search algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Graph Algorithms
mixture model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Mixture Model
google quantum ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Google Quantum AI
quantum ai at google,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Google Quantum AI
distributed machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Distributed Machine Learning
google colab,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Google Colaboratory
google colaboratory,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Google Colaboratory
matplotlib,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Matplotlib (Python Package)
language recognition,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Language Recognition
multinomial logistic regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Multinomial Logistic Regression
multiclass logistic regression,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Multinomial Logistic Regression
scipy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,SciPy
pattern mining,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Pattern Mining
neuro-linguistic programming,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Neuro-Linguistic Programming
neuro linguistic programming,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Neuro-Linguistic Programming
neurolinguistic programming,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Neuro-Linguistic Programming
variational autoencoder,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Variational Autoencoders
VAEs,tier1,Case-sensitive matching; keyword cannot be part of a longer word,GenAI,Variational Autoencoders
cloud security planning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Cloud Security Planning
template matching,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",CV,Template Matching
check point certified managed security expert,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Check Point Certified Managed Security Expert
check point ccmse,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Check Point Certified Managed Security Expert
odometry,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,Odometry
sympy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Sympy
numpy,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,NumPy (Python Package)
causal inference,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Causal Inference
cognitive computing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Cognitive Computing
ggplot2,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Ggplot2
game ai,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Game Ai
game artificial intelligence,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Game Ai
loss function,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Loss Functions
bayesian statistics,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Bayesian Statistics
dataspaces,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Dataspaces
igraph,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,Igraph
markov model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Markov Model
text mining,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Text Mining
text data mining,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Text Mining
quantum annealing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GeneralAI,Quantum Annealing
intelligent agent,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Agent,Intelligent Agent
simultaneous equations,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Simultaneous Equations Model
voiceflow,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,Voiceflow
automated reasoning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Other,Automated Reasoning
query understanding,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Query Understanding
query intent,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Query Understanding
query parsing,tier2,Case-insensitive matching; keyword cannot be part of a longer word,NLP,Query Understanding
autoregressive model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",GenAI,Autoregressive Model
discrete optimization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Discrete Optimization
3d reconstruction,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,3D Reconstruction
3d scene reconstruction,tier2,Case-insensitive matching; keyword cannot be part of a longer word,CV,3D Reconstruction
speech enhancement,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,Speech Enhancement
hyperautomation,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",Agent,Hyperautomation
feature selection,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Feature Selection
feature subset selection,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,Feature Selection
gpu optimization,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,GPU Optimization
gpu performance optimization,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,GPU Optimization
watson iot,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GeneralAI,Watson IoT
libsvm,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,libsvm
sentiment classification,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,sentiment classification
torch ml,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,torch (machine learning)
torch machine learning,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,torch (machine learning)
jung framework,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,jung framework
latent semantic analysis,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,latent semantic analysis
latent semantic indexing,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,latent semantic analysis
stochastic gradient descent,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,stochastic gradient descent
maximum entropy classifier,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,maximum entropy classifier
maximum entropy model,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",NLP,maximum entropy classifier
em algorithm,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,expectation-maximization (em) algorithm
expectation-maximization algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,expectation-maximization (em) algorithm
classification algorithm,tier3,"Case-insensitive matching; text can occur anywhere, including within a longer word",ML,classification algorithms
ai chatbox,tier2,Case-insensitive matching; keyword cannot be part of a longer word,Other,AI chatbox
ND4J,tier2,Case-insensitive matching; keyword cannot be part of a longer word,ML,ND4J (software)
gpt-3,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,gpt-4
gpt-o3,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,gpt-4
gpt-5,tier2,Case-insensitive matching; keyword cannot be part of a longer word,GenAI,gpt-4
